"performance","recgap","algo"
0.783571937552633,0.024667849720461,"UBCF"
0.784229294220548,0.0337068875698845,"UBCF"
0.776036866359447,0.0130697656210205,"UBCF"
0.778998940677966,-0.00311000148365748,"UBCF"
0.780621931260229,0.0105887694269909,"UBCF"
0.784394798266089,0.00669288040658378,"UBCF"
0.779302646266991,0.00414177799721727,"UBCF"
0.779206931022992,0.0195182234080856,"UBCF"
0.787575150300601,0.0257124515284112,"UBCF"
0.784466019417476,0.0206751575631842,"UBCF"
0.786687631027254,0.0147500895832612,"UBCF"
0.779991921367982,-0.00311330476179805,"UBCF"
0.7837784371909,0.00330564197518257,"UBCF"
0.782354436816679,0.0259530917719127,"UBCF"
0.781834486292595,0.0208228232093545,"UBCF"
0.786705717560168,0.00838915017381903,"UBCF"
0.775777834919002,0.00921208151126329,"UBCF"
0.786013619696176,0.016175383665776,"UBCF"
0.781212364512244,-0.0106861556737616,"UBCF"
0.78170019467878,0.011024058987947,"UBCF"
0.777725783809078,0.00516518974321312,"UBCF"
0.775293423382073,0.00134243611892915,"UBCF"
0.779608451250242,0.011277116745516,"UBCF"
0.780400949617515,0.00320358798421738,"UBCF"
0.788368336025848,0.0144160665973999,"UBCF"
0.776588717135685,-0.00155919802571081,"UBCF"
0.781663275686673,0.0329218183789088,"UBCF"
0.774582306217475,0.00696448784770798,"UBCF"
0.786312194468626,0.0281519640306267,"UBCF"
0.785774988559848,-0.0036199088217137,"UBCF"
0.78533211535952,0.0249244516403396,"UBCF"
0.782586622667851,-0.00104671772062992,"UBCF"
0.778353253652059,0.0162458317434511,"UBCF"
0.789060521651051,-0.00586372527621781,"UBCF"
0.787486515641855,0.0183846980442725,"UBCF"
0.791184356811196,-0.00524108634761888,"UBCF"
0.785837651122625,0.0192488134305598,"UBCF"
0.775983989326217,-0.00217642725503431,"UBCF"
0.790971289724407,0.00524549291659338,"UBCF"
0.782670823590543,0.00907316108784029,"UBCF"
0.779308072487644,-0.0118171214086151,"UBCF"
0.77723386201945,-0.00814443153899169,"UBCF"
0.785227126495947,0.000939440877354314,"UBCF"
0.773137845267705,0.000820613195913755,"UBCF"
0.781272572066452,0.0259577803874323,"UBCF"
0.775130354432051,-0.00187740340423648,"UBCF"
0.785190948583285,0.0120330697675808,"UBCF"
0.77801153715643,0.0228837124668603,"UBCF"
0.77577045696068,0.0122116174990866,"UBCF"
0.783760961351088,0.0191459633430685,"UBCF"
0.780948579791126,0.0347653253802214,"UBCF"
0.776688811418799,-0.00610528138545197,"UBCF"
0.787823598282815,0.0013234755845184,"UBCF"
0.785911336370052,0.014504835118062,"UBCF"
0.77609781751249,0.0119237530105409,"UBCF"
0.782995742484841,0.0165609957868152,"UBCF"
0.780936667089732,-0.00595586384421376,"UBCF"
0.779550591676639,-0.00475462375543423,"UBCF"
0.78074387043083,-0.00172487424385315,"UBCF"
0.784827033524776,0.00474900265498246,"UBCF"
0.784211529905295,0.0169900460016525,"UBCF"
0.780150914439187,0.00448776292636155,"UBCF"
0.777499152829549,0.00174483386502533,"UBCF"
0.788945053502265,0.00695327515965161,"UBCF"
0.789211452866538,0.0143832516364917,"UBCF"
0.783337805205259,0.0214709108245136,"UBCF"
0.775441206301981,0.018978956768662,"UBCF"
0.781633185494391,0.0091854941230457,"UBCF"
0.766078017923036,0.00661752574422858,"UBCF"
0.776994385690038,0.0233332671149052,"UBCF"
0.786352763439507,0.0213850683607527,"UBCF"
0.784701047328649,0.0232731274058484,"UBCF"
0.788804071246819,-0.00408675406849512,"UBCF"
0.785530381050463,-0.0121140648521914,"UBCF"
0.781648037431765,0.00606847955414591,"UBCF"
0.776499642555404,0.0324434714120213,"UBCF"
0.780005241090147,0.0286501710568163,"UBCF"
0.782533792737874,0.0143659097343943,"UBCF"
0.789405684754522,0.00377629068291396,"UBCF"
0.77362230738734,0.0112991734472444,"UBCF"
0.782848151062156,0.00529822366832955,"UBCF"
0.785291087068521,-0.00538931051417169,"UBCF"
0.789110379975485,0.011473592201718,"UBCF"
0.779753761969904,0.0125595142882367,"UBCF"
0.78299356223176,0.0319986460599719,"UBCF"
0.779435509914099,0.0167499306133776,"UBCF"
0.78484509636256,0.0162498141854819,"UBCF"
0.782824427480916,0.0302242651417731,"UBCF"
0.782675062011067,-0.0116958209429182,"UBCF"
0.778827206631786,0.00436983113846146,"UBCF"
0.796033638759885,0.0152937951777106,"UBCF"
0.78263768502467,-0.000536519709414041,"UBCF"
0.772759396080951,0.0050673054158118,"UBCF"
0.784499178981938,0.0185316753153291,"UBCF"
0.782056534207292,0.0109126406310934,"UBCF"
0.787321880410174,0.0128780003137583,"UBCF"
0.781119733213621,0.0135687537290387,"UBCF"
0.778299702282501,0.0155337911834877,"UBCF"
0.776117402667024,0.012988447008012,"UBCF"
0.776952157476209,0.0164788290668635,"UBCF"











